Product,Export,Segment,Brand
Cocoa Butter,True,Intermediate Cocoa Products,Cocoa Butter
Cocoa Cake,True,Intermediate Cocoa Products,Cocoa Cake
Cocoa Liquor,True,Intermediate Cocoa Products,Cocoa Liquor
Cocoa Powder,False,Intermediate Cocoa Products,Cocoa Powder
Bournvita,False,Refreshment Beverages,Cadbury Bournvita
Hot Chocolate,False,Refreshment Beverages,Cadbury 3-in-1 Hot Chocolate
Tom Tom Classic,False,Confectionery,Tom Tom Classic
Tom Tom Strawberry,False,Confectionery,Tom Tom Strawberry
Buttermint,False,Confectionery,Buttermint
